X,Y
532,95.007
533,100.312
534,99.062
535,87.000
536,86.586
537,84.686
538,83.697
539,85.427
540,74.904
541,74.855
542,76.556
543,74.233
544,77.563
545,77.771
546,76.650
547,76.010
548,76.440
549,73.755
550,62.575
551,69.206
552,75.636
553,74.509
554,65.357
555,65.182
556,68.618
557,73.348
558,77.012
559,71.272
560,69.163
561,74.513
562,72.262
563,75.437
564,72.063
565,83.010
566,78.126
567,84.935
568,85.234
569,77.646
570,70.294
571,77.220
572,77.264
573,79.035
574,77.010
575,71.990
576,79.745
577,81.503
578,83.336
579,80.080
580,88.318
581,80.988
582,80.101
583,82.209
584,78.394
585,81.101
586,83.600
587,76.058
588,75.717
589,79.413
590,84.007
591,87.839
592,91.611
593,88.115
594,84.410
595,85.864
596,91.228
597,80.736
598,84.719
599,89.030
600,90.799
601,85.883
602,87.896
603,90.935
604,89.641
605,102.791
606,94.570
607,93.263
608,100.303
609,98.395
610,98.843
611,99.963
612,101.235
613,105.286
614,103.529
615,106.987
616,107.916
617,115.175
618,113.525
619,114.603
620,116.394
621,123.397
622,124.717
623,129.688
624,139.193
625,141.784
626,145.912
627,147.952
628,148.895
629,157.893
630,171.711
631,170.959
632,178.703
633,190.990
634,206.627
635,202.412
636,216.137
637,230.062
638,234.241
639,248.284
640,262.304
641,270.452
642,283.901
643,304.379
644,326.254
645,353.913
646,375.629
647,379.491
648,421.610
649,442.897
650,454.978
651,469.540
652,492.018
653,503.869
654,514.957
655,530.432
656,550.632
657,556.561
658,549.277
659,565.343
660,559.907
661,541.682
662,564.278
663,532.953
664,520.379
665,514.753
666,496.435
667,477.218
668,451.269
669,466.745
670,427.236
671,409.766
672,394.983
673,385.914
674,352.885
675,337.037
676,308.511
677,296.246
678,287.720
679,265.265
680,250.996
681,252.699
682,229.609
683,222.220
684,215.493
685,218.932
686,208.029
687,202.545
688,203.206
689,190.859
690,180.867
691,179.302
692,176.786
693,165.833
694,179.043
695,183.937
696,181.646
697,166.356
698,172.680
699,173.709
700,171.061
701,182.186
702,180.891
703,186.219
704,184.519
705,202.025
706,196.332
707,197.386
708,207.827
709,220.276
710,223.366
711,233.361
712,235.587
713,243.289
714,262.658
715,265.650
716,287.550
717,283.803
718,288.507
719,309.926
720,308.936
721,321.451
722,325.368
723,317.964
724,324.265
725,329.464
726,330.780
727,314.925
728,316.526
729,308.532
730,305.836
731,296.811
732,285.937
733,268.102
734,264.289
735,257.446
736,255.234
737,230.200
738,220.192
739,219.197
740,207.435
741,197.046
742,188.722
743,178.281
744,176.142
745,175.133
746,171.297
747,156.821
748,158.830
749,146.701
750,150.290
751,161.874
752,141.512
753,142.854
754,138.747
755,139.215
756,138.982
757,144.325
758,144.937
759,131.234
760,137.433
761,139.176
762,128.847
763,132.962
764,136.271
765,140.809
766,120.820
767,132.071
768,124.248
769,119.370
770,116.931
771,116.460
772,114.983
773,119.887
774,115.851
775,116.341
776,115.286
777,115.079
778,111.999
779,117.438
780,111.036
781,111.956
782,105.178
783,112.351
784,116.068
785,108.620
786,110.279
787,106.774
788,94.892
789,107.502
790,109.050
791,112.710
792,94.817
793,97.987
794,97.062
795,100.758
796,103.097
797,95.349
798,101.925
799,102.453
800,105.232
801,95.167
802,93.432
803,90.245
804,94.980
805,100.579
806,96.505
807,99.301
808,107.209
809,98.586
810,102.936
811,102.104
812,96.831
813,100.256
814,97.339
815,96.203
816,102.412
817,100.308
818,96.081
819,96.722
820,94.600
821,99.969
822,105.506
823,101.829
824,104.245
825,110.328
826,111.818
827,112.314
828,105.813
829,111.529
830,116.141
831,127.815
832,111.588
833,116.337
834,114.587
835,112.325
836,114.768
837,112.019
838,117.317
839,120.028
840,124.825
841,125.106
842,120.777
843,125.295
844,129.466
845,120.431
846,113.794
847,110.464
848,113.735
849,120.154
850,113.074
851,114.913
852,117.320
853,113.090
854,115.014
855,125.718
856,122.320
857,120.807
858,122.305
859,128.631
860,126.412
861,123.469
862,117.938
863,117.071
864,118.763
865,120.273
866,122.554
867,130.826
868,141.463
869,130.115
870,134.166
871,141.803
872,133.899
873,135.807
874,142.997
875,140.331
876,148.397
877,154.000
878,155.781
879,156.477
880,158.216
881,154.981
882,158.489
883,155.699
884,152.872
885,167.847
886,165.205
887,169.174
888,176.794
889,162.791
890,184.994
891,183.703
892,179.267
893,185.201
894,193.850
895,195.432
896,190.195
897,197.744
898,193.876
899,205.010
900,205.277
901,216.689
902,219.813
903,220.834
904,233.053
905,214.573
906,220.672
907,229.441
908,227.456
909,240.204
910,249.623
911,267.664
912,273.593
913,272.815
914,286.364
915,299.538
916,295.468
917,324.738
918,339.952
919,351.046
920,367.800
921,390.597
922,412.223
923,464.600
924,466.530
925,479.599
926,494.857
927,507.381
928,520.454
929,535.782
930,546.070
931,572.891
932,579.681
933,589.226
934,600.461
935,621.834
936,613.012
937,600.830
938,620.294
939,623.109
940,602.105
941,588.329
942,592.973
943,573.339
944,565.070
945,551.147
946,527.495
947,497.424
948,488.557
949,468.994
950,481.214
951,433.992
952,417.042
953,406.920
954,398.793
955,384.183
956,364.554
957,369.901
958,358.408
959,331.658
960,312.201
961,310.028
962,306.989
963,293.139
964,288.760
965,289.886
966,261.686
967,266.149
968,260.759
969,261.577
970,261.472
971,257.411
972,242.459
973,243.324
974,244.422
975,234.922
976,236.401
977,215.157
978,223.442
979,219.643
980,214.721
981,216.277
982,227.481
983,216.522
984,208.900
985,204.761
986,193.806
987,205.524
988,212.171
989,205.719
990,204.328
991,204.458
992,209.523
993,200.307
994,198.493
995,196.260
996,195.554
997,193.122
998,195.014
999,184.603
1000,195.730
1001,188.062
1002,188.572
1003,193.613
1004,195.229
1005,188.240
1006,188.419
1007,189.444
1008,191.217
1009,194.416
1010,191.348
1011,202.900
1012,204.162
1013,210.651
1014,215.399
1015,212.480
1016,216.897
1017,224.852
1018,234.294
1019,233.696
1020,239.307
1021,253.998
1022,260.244
1023,261.600
1024,268.328
1025,276.286
1026,282.784
1027,290.146
1028,303.033
1029,311.717
1030,316.317
1031,320.128
1032,325.016
1033,324.745
1034,329.251
1035,337.920
1036,324.216
1037,326.511
1038,335.863
1039,344.851
