X,Y
0,108.000
1,104.420
2,100.621
3,104.841
4,98.791
5,97.839
6,99.509
7,99.755
8,101.410
9,103.665
10,112.322
11,113.437
12,118.604
13,124.832
14,133.343
15,130.831
16,127.593
17,119.340
18,119.952
19,120.410
20,116.813
21,115.466
22,103.040
23,95.262
24,87.504
25,84.463
26,81.352
27,74.522
28,67.597
29,71.986
30,73.860
31,72.013
32,68.941
33,69.798
34,69.642
35,71.133
36,68.271
37,70.610
38,66.220
39,69.762
40,74.612
41,63.391
42,71.419
43,75.052
44,75.114
45,80.056
46,80.566
47,87.479
48,90.886
49,96.606
50,100.754
51,110.203
52,114.083
53,120.661
54,127.448
55,143.790
56,148.187
57,155.031
58,166.700
59,168.183
60,171.880
61,169.220
62,175.326
63,166.303
64,167.180
65,169.074
66,155.013
67,146.352
68,147.328
69,133.775
70,132.523
71,125.985
72,130.354
73,125.531
74,117.786
75,126.711
76,126.525
77,123.468
78,130.806
79,119.451
80,126.327
81,134.648
82,130.924
83,130.168
84,128.715
85,126.550
86,132.268
87,127.886
88,123.746
89,125.852
90,119.755
91,113.364
92,106.725
93,102.790
94,101.682
95,94.438
96,106.218
97,101.328
98,106.854
99,108.388
100,114.280
101,117.387
102,131.694
103,138.271
104,138.027
105,147.264
106,150.297
107,154.391
108,151.466
109,161.855
110,161.675
111,150.519
112,156.963
113,149.530
114,140.747
115,125.997
116,117.072
117,111.836
118,108.552
119,94.844
120,100.394
121,93.097
122,91.836
123,84.530
124,75.489
125,80.031
126,77.459
127,72.095
128,70.556
129,68.331
130,67.545
131,71.038
132,71.176
133,71.379
134,66.945
135,68.269
136,69.334
137,79.228
138,83.024
139,80.595
140,82.514
141,82.704
142,87.783
143,101.797
144,113.961
145,120.634
146,125.477
147,118.119
148,130.094
149,137.670
150,147.273
151,150.182
152,154.700
153,169.799
154,167.917
155,167.775
156,168.144
157,173.890
158,164.550
159,178.858
160,163.853
161,145.676
162,153.451
163,137.592
164,129.705
165,135.140
166,120.906
167,118.662
168,110.563
169,110.628
170,113.259
171,114.144
172,112.003
173,113.266
174,115.707
175,124.778
176,123.649
177,126.441
178,139.202
179,141.505
180,147.783
181,153.416
182,144.947
183,157.503
184,164.765
185,156.887
186,161.324
187,166.165
188,158.916
189,153.627
190,153.217
191,142.188
192,141.611
193,145.464
194,137.607
195,133.847
196,136.994
197,136.619
198,136.085
199,135.007
200,140.885
201,145.682
202,145.328
203,152.724
204,147.891
205,158.736
206,162.319
207,166.083
208,174.392
209,190.235
210,189.181
211,174.503
212,168.413
213,165.365
214,168.889
215,161.200
216,140.360
217,148.109
218,142.257
219,132.619
220,128.425
221,114.314
222,103.990
223,98.079
224,101.855
225,97.797
226,89.066
227,93.572
228,88.108
229,84.812
230,85.833
231,82.951
232,79.799
233,82.684
234,89.021
235,81.958
236,82.147
237,79.507
238,84.289
239,88.722
240,92.785
241,89.502
242,93.018
243,94.112
244,106.993
245,96.628
246,102.059
247,108.407
248,130.734
249,117.434
250,113.707
251,124.767
252,129.502
253,129.313
254,140.696
255,144.929
256,139.872
257,147.168
258,147.022
259,149.279
260,152.873
261,155.817
262,173.821
263,169.309
264,158.014
265,149.744
266,148.813
267,140.692
268,140.900
269,136.070
270,124.735
271,124.915
272,118.718
273,108.737
274,100.337
275,101.793
276,98.543
277,99.109
278,90.366
279,93.119
280,91.859
281,91.063
282,92.882
283,95.868
284,97.518
285,100.202
286,99.597
287,103.033
288,107.576
289,109.658
290,110.752
291,115.093
292,120.262
293,126.564
294,126.398
295,123.047
296,135.306
297,125.603
298,121.335
299,119.728
300,121.601
301,120.483
302,119.677
303,113.489
304,116.713
305,106.981
306,111.239
307,115.016
308,118.277
309,118.311
310,114.093
311,114.284
312,125.574
313,118.425
314,126.197
315,133.093
316,143.100
317,138.028
318,139.678
319,146.731
320,153.964
321,157.988
322,159.106
323,149.663
324,157.964
325,159.063
326,139.191
327,152.335
328,150.621
329,140.840
330,140.618
331,132.471
332,128.732
333,127.618
334,121.894
335,120.485
336,108.498
337,101.071
338,103.057
339,96.049
340,88.613
341,87.906
342,87.449
343,75.297
344,84.883
345,82.575
346,75.496
347,89.157
348,84.432
349,86.011
350,76.259
351,80.227
352,85.223
353,85.483
354,80.620
355,80.346
356,89.354
357,91.545
358,82.764
359,81.882
360,73.284
361,86.187
362,88.190
363,92.412
364,87.826
365,90.553
366,88.549
367,83.167
368,94.925
369,92.995
370,94.605
371,105.155
372,106.909
373,108.017
374,103.668
375,114.247
376,118.343
377,123.052
378,121.652
379,128.428
380,136.378
381,142.994
382,138.605
383,147.464
384,140.487
385,140.840
386,141.666
387,142.694
388,137.536
389,133.130
390,133.651
391,124.872
392,115.005
393,110.007
394,107.381
395,111.406
396,107.951
397,101.399
398,96.968
399,91.788
400,91.687
401,86.848
402,88.088
403,91.559
404,86.720
405,86.009
406,84.629
407,93.058
408,84.123
409,89.957
410,91.086
411,98.863
412,95.438
413,105.562
414,109.171
415,106.209
416,105.120
417,110.803
418,119.263
