Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,100,2
Label,,
TIME,CH1,CH2
-2.557e+01,6,0.56
-2.554e+01,6,0.8
-2.550e+01,6,0.0800001
-2.547e+01,6,-0.8
-2.544e+01,6,-1.68
-2.541e+01,6,-2
-2.538e+01,6,-2.56
-2.534e+01,6,-2.8
-2.531e+01,6,-2.4
-2.528e+01,6,-2.16
-2.525e+01,6,-2.56
-2.522e+01,2,-2.72
-2.518e+01,6,-2.8
-2.515e+01,6,-3.2
-2.512e+01,6,-2.8
-2.509e+01,6,-1.68
-2.506e+01,6,-1.28
-2.502e+01,6,-1.28
-2.499e+01,6,-1.84
-2.496e+01,10,-2.32
-2.493e+01,6,-2.16
-2.490e+01,6,-1.84
-2.486e+01,6,-2.08
-2.483e+01,6,-2.48
-2.480e+01,6,-2.56
-2.477e+01,6,-2.8
-2.474e+01,2,-2.72
-2.470e+01,6,-2.48
-2.467e+01,6,-2.64
-2.464e+01,6,-2.24
-2.461e+01,10,-1.12
-2.458e+01,10,-1.2
-2.454e+01,6,-1.6
-2.451e+01,6,-2.32
-2.448e+01,10,-3.28
-2.445e+01,6,-3.04
-2.442e+01,10,-2.24
-2.438e+01,6,-1.68
-2.435e+01,10,-1.12
-2.432e+01,10,-0.48
-2.429e+01,10,-0.4
-2.426e+01,6,-1.52
-2.422e+01,10,-2.48
-2.419e+01,10,-3.04
-2.416e+01,10,-2.72
-2.413e+01,10,-2.56
-2.410e+01,6,-2.64
-2.406e+01,10,-2
-2.403e+01,10,-1.44
-2.400e+01,10,-1.44
-2.397e+01,10,-2.32
-2.394e+01,10,-3.28
-2.390e+01,10,-3.52
-2.387e+01,10,-2.8
-2.384e+01,10,-2.08
-2.381e+01,10,-1.44
-2.378e+01,10,-1.76
-2.374e+01,10,-2.96
-2.371e+01,10,-3.6
-2.368e+01,10,-3.36
-2.365e+01,10,-2.32
-2.362e+01,10,-1.36
-2.358e+01,10,-1.44
-2.355e+01,10,-2.56
-2.352e+01,10,-3.04
-2.349e+01,10,-3.04
-2.346e+01,10,-2.4
-2.342e+01,10,-2.32
-2.339e+01,10,-2.96
-2.336e+01,10,-2.96
-2.333e+01,10,-2.24
-2.330e+01,10,-1.36
-2.326e+01,10,-1.52
-2.323e+01,10,-2.4
-2.320e+01,10,-3.04
-2.317e+01,10,-3.12
-2.314e+01,10,-2.64
-2.310e+01,10,-2.16
-2.307e+01,10,-1.28
-2.304e+01,10,-1.12
-2.301e+01,10,-1.2
-2.298e+01,10,-2.08
-2.294e+01,10,-3.28
-2.291e+01,10,-3.12
-2.288e+01,10,-2.24
-2.285e+01,14,-1.68
-2.282e+01,14,-1.68
-2.278e+01,14,-1.68
-2.275e+01,10,-1.84
-2.272e+01,10,-2.08
-2.269e+01,10,-2.56
-2.266e+01,14,-2.48
-2.262e+01,14,-2.16
-2.259e+01,14,-2.24
-2.256e+01,10,-2.32
-2.253e+01,14,-2.16
-2.250e+01,14,-1.44
-2.246e+01,14,-1.2
-2.243e+01,10,-1.52
-2.240e+01,14,-1.76
-2.237e+01,14,-1.84
