Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,10
Label,,
TIME,CH1,CH2
-2.586e+00,100.4,1.2
-2.582e+00,100,0.8
-2.579e+00,100.4,0.8
-2.576e+00,100.4,0.8
-2.573e+00,100.4,0.8
-2.570e+00,75.6,-18.8
-2.566e+00,40,-18.8
-2.563e+00,3.6,-18.8
-2.560e+00,0,0.8
-2.557e+00,0,0.8
-2.554e+00,0,0.4
-2.550e+00,0.8,0.4
-2.547e+00,0.8,0.4
-2.544e+00,0.4,0.4
-2.541e+00,0.4,0.4
-2.538e+00,0.8,0.4
-2.534e+00,0.4,0.4
-2.531e+00,0.8,0.4
-2.528e+00,0.8,0.4
-2.525e+00,0.8,0.4
-2.522e+00,1.2,0.4
-2.518e+00,0.8,0.4
-2.515e+00,1.2,4.76837e-07
-2.512e+00,1.2,4.76837e-07
-2.509e+00,1.2,4.76837e-07
-2.506e+00,1.2,0.4
-2.502e+00,1.2,0.4
-2.499e+00,1.2,0.4
-2.496e+00,1.2,0.4
-2.493e+00,1.6,0.4
-2.490e+00,1.6,0.4
-2.486e+00,1.6,0.4
-2.483e+00,2,0.4
-2.480e+00,2,0.4
-2.477e+00,2,0.4
-2.474e+00,2,0.4
-2.470e+00,2,0.4
-2.467e+00,2,0.4
-2.464e+00,2,0.8
-2.461e+00,2,0.8
-2.458e+00,2.4,0.8
-2.454e+00,2.4,0.8
-2.451e+00,2.4,0.8
-2.448e+00,2.8,0.4
-2.445e+00,2.4,0.4
-2.442e+00,2.8,0.8
-2.438e+00,3.2,0.8
-2.435e+00,2.4,0.4
-2.432e+00,2.4,0.8
-2.429e+00,3.2,0.8
-2.426e+00,2.8,0.8
-2.422e+00,3.6,0.8
-2.419e+00,3.2,0.8
-2.416e+00,3.2,0.8
-2.413e+00,3.2,0.8
-2.410e+00,3.2,0.4
-2.406e+00,3.6,0.4
-2.403e+00,3.2,0.4
-2.400e+00,3.6,0.8
-2.397e+00,3.6,0.8
-2.394e+00,3.6,0.8
-2.390e+00,3.6,0.8
-2.387e+00,3.6,0.8
-2.384e+00,3.6,0.8
-2.381e+00,4,0.8
-2.378e+00,4,0.8
-2.374e+00,4,0.8
-2.371e+00,4,0.8
-2.368e+00,4.4,0.8
-2.365e+00,4,0.8
-2.362e+00,4.4,1.2
-2.358e+00,4,0.8
-2.355e+00,4.4,0.8
-2.352e+00,4.4,0.8
-2.349e+00,4.4,0.8
-2.346e+00,4.4,0.4
-2.342e+00,4.4,0.8
-2.339e+00,4.8,0.8
-2.336e+00,4.8,0.8
-2.333e+00,5.2,0.8
-2.330e+00,5.2,0.8
-2.326e+00,4.8,0.8
-2.323e+00,5.2,0.8
-2.320e+00,5.2,0.8
-2.317e+00,5.2,0.8
-2.314e+00,5.2,0.8
-2.310e+00,5.6,0.8
-2.307e+00,5.2,0.8
-2.304e+00,5.2,0.4
-2.301e+00,5.2,0.8
-2.298e+00,5.6,0.8
-2.294e+00,5.6,0.8
-2.291e+00,6,1.2
-2.288e+00,6,1.2
-2.285e+00,5.6,0.8
-2.282e+00,6,0.8
-2.278e+00,6,0.8
-2.275e+00,6,0.8
-2.272e+00,6.4,0.8
-2.269e+00,6,0.4
-2.266e+00,6,0.8
-2.262e+00,6,0.8
-2.259e+00,6.4,1.2
-2.256e+00,6,0.8
-2.253e+00,6.4,1.2
-2.250e+00,6.4,0.8
-2.246e+00,6.8,0.8
-2.243e+00,6.8,0.8
-2.240e+00,7.2,0.8
-2.237e+00,7.2,0.8
-2.234e+00,7.2,0.8
-2.230e+00,6.8,0.8
-2.227e+00,6.8,0.8
-2.224e+00,7.2,1.2
-2.221e+00,6.4,0.8
-2.218e+00,7.2,0.8
-2.214e+00,6.8,0.8
-2.211e+00,7.6,0.8
-2.208e+00,7.6,0.8
-2.205e+00,7.2,0.8
-2.202e+00,7.6,0.8
-2.198e+00,7.6,0.8
-2.195e+00,7.6,1.2
-2.192e+00,7.6,1.2
-2.189e+00,8,1.2
-2.186e+00,7.6,0.8
-2.182e+00,7.6,1.2
-2.179e+00,8,1.2
-2.176e+00,8,0.8
-2.173e+00,8,0.8
-2.170e+00,8,0.8
-2.166e+00,8,0.8
-2.163e+00,8.4,0.8
-2.160e+00,8,0.8
-2.157e+00,8.4,1.2
-2.154e+00,8.4,0.8
-2.150e+00,8.4,0.8
-2.147e+00,8.4,0.8
-2.144e+00,8.4,0.8
-2.141e+00,8.8,0.8
-2.138e+00,8.8,0.8
-2.134e+00,8.8,0.8
-2.131e+00,8.8,1.2
-2.128e+00,9.2,0.8
-2.125e+00,9.2,1.2
-2.122e+00,8.8,0.8
-2.118e+00,9.2,1.2
-2.115e+00,9.2,1.2
-2.112e+00,9.2,0.8
-2.109e+00,9.2,0.8
-2.106e+00,9.2,0.8
-2.102e+00,9.2,0.8
-2.099e+00,9.6,1.2
-2.096e+00,9.6,1.2
-2.093e+00,9.6,1.2
-2.090e+00,9.2,1.2
-2.086e+00,10,1.2
-2.083e+00,9.6,1.2
-2.080e+00,9.6,0.8
-2.077e+00,10,1.2
-2.074e+00,10,0.8
-2.070e+00,10,1.2
-2.067e+00,10,0.8
-2.064e+00,10,0.8
-2.061e+00,10.4,1.2
-2.058e+00,10.4,1.2
-2.054e+00,10.4,1.2
-2.051e+00,10.4,1.2
-2.048e+00,10,1.2
-2.045e+00,10.4,0.8
-2.042e+00,10.4,0.8
-2.038e+00,10.8,0.8
-2.035e+00,10.8,0.8
-2.032e+00,10.8,0.8
-2.029e+00,10.8,0.8
-2.026e+00,10.8,0.8
-2.022e+00,11.2,0.8
-2.019e+00,11.2,0.8
-2.016e+00,10.8,0.4
-2.013e+00,11.2,0.8
-2.010e+00,11.2,0.8
-2.006e+00,11.2,0.4
-2.003e+00,11.2,0.4
-2.000e+00,11.2,0.8
-1.997e+00,11.6,0.4
-1.994e+00,11.6,0.4
-1.990e+00,12,0.8
-1.987e+00,11.6,0.8
-1.984e+00,11.6,0.8
-1.981e+00,11.6,0.8
-1.978e+00,11.6,0.8
-1.974e+00,12,0.4
-1.971e+00,12,0.4
-1.968e+00,11.6,0.8
-1.965e+00,12,0.4
-1.962e+00,12.4,0.8
-1.958e+00,12,0.4
-1.955e+00,12.4,0.8
-1.952e+00,12,0.8
-1.949e+00,12.4,0.8
-1.946e+00,12.8,0.8
-1.942e+00,12.4,0.8
-1.939e+00,12.4,0.8
-1.936e+00,12.8,0.4
-1.933e+00,12.8,0.8
-1.930e+00,12.8,0.8
-1.926e+00,12.8,0.8
-1.923e+00,12.8,0.8
-1.920e+00,12.8,0.8
-1.917e+00,13.2,1.2
-1.914e+00,13.2,0.8
-1.910e+00,13.2,0.8
-1.907e+00,12.8,0.8
-1.904e+00,13.2,0.4
-1.901e+00,13.6,0.8
-1.898e+00,13.6,0.4
-1.894e+00,13.6,0.4
-1.891e+00,13.6,0.8
-1.888e+00,13.6,0.8
-1.885e+00,14,0.8
-1.882e+00,13.6,0.4
-1.878e+00,13.6,0.8
-1.875e+00,14,0.8
-1.872e+00,14,0.4
-1.869e+00,14,0.4
-1.866e+00,13.6,0.4
-1.862e+00,14.4,0.4
-1.859e+00,14,0.4
-1.856e+00,14.4,0.4
-1.853e+00,14.4,0.4
-1.850e+00,14.8,0.4
-1.846e+00,14.4,0.4
-1.843e+00,14.4,0.4
-1.840e+00,14.8,4.76837e-07
-1.837e+00,14.8,0.4
-1.834e+00,14,0.4
-1.830e+00,14.8,0.4
-1.827e+00,14.4,0.4
-1.824e+00,14.8,0.4
-1.821e+00,15.2,0.4
-1.818e+00,15.6,0.4
-1.814e+00,15.2,0.4
-1.811e+00,15.2,0.4
-1.808e+00,15.2,0.8
-1.805e+00,15.2,0.4
-1.802e+00,15.6,0.4
-1.798e+00,15.2,0.4
-1.795e+00,15.2,0.4
-1.792e+00,15.2,0.4
-1.789e+00,15.2,0.4
-1.786e+00,15.6,0.8
-1.782e+00,15.6,0.8
-1.779e+00,15.6,0.8
-1.776e+00,15.6,0.8
-1.773e+00,16,0.8
-1.770e+00,16.4,0.8
-1.766e+00,16,0.8
-1.763e+00,16,0.8
-1.760e+00,16,0.8
-1.757e+00,16,0.8
-1.754e+00,15.6,0.8
-1.750e+00,16.4,0.8
-1.747e+00,16,0.8
-1.744e+00,16.4,0.8
-1.741e+00,16.4,0.8
-1.738e+00,16.4,0.8
-1.734e+00,16,0.4
-1.731e+00,16.8,0.4
-1.728e+00,16.8,0.4
-1.725e+00,16.8,0.4
-1.722e+00,16.8,0.8
-1.718e+00,16.8,0.4
-1.715e+00,16.8,0.8
-1.712e+00,17.2,0.8
-1.709e+00,17.2,0.8
-1.706e+00,17.2,0.4
-1.702e+00,16.8,0.8
-1.699e+00,17.2,0.8
-1.696e+00,17.2,0.8
-1.693e+00,17.6,0.8
-1.690e+00,17.2,0.8
-1.686e+00,17.6,0.8
-1.683e+00,17.6,0.8
-1.680e+00,17.6,0.4
-1.677e+00,17.6,0.4
-1.674e+00,17.6,0.4
-1.670e+00,18,0.8
-1.667e+00,18,0.8
-1.664e+00,18,0.8
-1.661e+00,18,0.4
-1.658e+00,18.4,0.4
-1.654e+00,18,0.4
-1.651e+00,18.4,0.8
-1.648e+00,18.4,0.8
-1.645e+00,18.4,0.8
-1.642e+00,18.4,0.4
-1.638e+00,18.4,0.4
-1.635e+00,18.8,0.8
-1.632e+00,18.8,0.4
-1.629e+00,18.8,0.4
-1.626e+00,18.8,0.4
-1.622e+00,18.8,0.8
-1.619e+00,18.8,0.4
-1.616e+00,18.8,0.4
-1.613e+00,18.8,0.4
-1.610e+00,18.8,0.4
-1.606e+00,19.2,0.4
-1.603e+00,19.2,0.4
-1.600e+00,18.8,0.4
-1.597e+00,19.2,0.4
-1.594e+00,19.2,0.4
-1.590e+00,19.6,0.4
-1.587e+00,19.6,0.4
-1.584e+00,19.6,0.4
-1.581e+00,19.2,0.4
-1.578e+00,19.6,0.8
-1.574e+00,19.6,0.4
-1.571e+00,19.2,0.4
-1.568e+00,19.6,0.4
-1.565e+00,19.6,0.4
-1.562e+00,20,0.4
-1.558e+00,20,0.4
-1.555e+00,20,0.4
-1.552e+00,20.4,0.4
-1.549e+00,20,0.4
-1.546e+00,20.4,0.4
-1.542e+00,20,0.4
-1.539e+00,20.4,0.8
-1.536e+00,20.4,0.8
-1.533e+00,20.8,0.4
-1.530e+00,20.8,0.4
-1.526e+00,20.8,0.4
-1.523e+00,20.8,0.8
-1.520e+00,20.8,0.4
-1.517e+00,20.8,0.4
-1.514e+00,20.8,0.8
-1.510e+00,20.8,0.8
-1.507e+00,21.2,0.4
-1.504e+00,21.2,0.4
-1.501e+00,21.2,0.4
-1.498e+00,21.2,0.4
-1.494e+00,21.2,0.4
-1.491e+00,21.2,0.8
-1.488e+00,21.6,0.8
-1.485e+00,21.6,0.4
-1.482e+00,21.6,0.4
-1.478e+00,21.2,0.4
-1.475e+00,21.6,0.4
-1.472e+00,21.6,0.4
-1.469e+00,21.6,0.4
-1.466e+00,21.6,0.4
-1.462e+00,22,0.4
-1.459e+00,22,0.4
-1.456e+00,22,0.4
-1.453e+00,22,0.4
-1.450e+00,22,0.4
-1.446e+00,22,0.4
-1.443e+00,22,0.8
-1.440e+00,22.4,0.8
-1.437e+00,22.8,0.4
-1.434e+00,22.8,0.4
-1.430e+00,22.4,0.4
-1.427e+00,22.4,0.4
-1.424e+00,22.8,0.4
-1.421e+00,22.8,0.8
-1.418e+00,22.8,0.4
-1.414e+00,22.4,0.4
-1.411e+00,22.8,0.4
-1.408e+00,22.8,0.4
-1.405e+00,23.2,0.4
-1.402e+00,23.2,0.4
-1.398e+00,22.8,0.4
-1.395e+00,23.2,0.4
-1.392e+00,22.8,0.4
-1.389e+00,23.2,0.4
-1.386e+00,23.2,0.8
-1.382e+00,23.2,0.4
-1.379e+00,23.6,0.4
-1.376e+00,23.6,0.8
-1.373e+00,23.6,0.8
-1.370e+00,23.6,0.4
-1.366e+00,23.6,0.4
-1.363e+00,23.6,0.8
-1.360e+00,24,0.4
-1.357e+00,24,0.4
-1.354e+00,24,0.4
-1.350e+00,24.4,0.4
-1.347e+00,24.4,0.4
-1.344e+00,24,0.4
-1.341e+00,24.4,0.4
-1.338e+00,24.4,0.4
-1.334e+00,24.4,0.8
-1.331e+00,24.4,0.8
-1.328e+00,24.4,0.4
-1.325e+00,24.8,0.4
-1.322e+00,24.8,0.8
-1.318e+00,24.8,0.8
-1.315e+00,24.8,0.8
-1.312e+00,24.4,0.4
-1.309e+00,24.8,0.4
-1.306e+00,24.8,0.4
-1.302e+00,24.8,0.4
-1.299e+00,25.2,0.8
-1.296e+00,25.2,0.4
-1.293e+00,25.2,0.4
-1.290e+00,25.2,0.4
-1.286e+00,25.2,0.4
-1.283e+00,25.2,0.4
-1.280e+00,25.6,0.4
-1.277e+00,25.6,0.4
-1.274e+00,25.6,0.8
-1.270e+00,25.6,0.4
-1.267e+00,25.6,0.8
-1.264e+00,26,0.4
-1.261e+00,25.6,0.4
-1.258e+00,25.6,0.4
-1.254e+00,26,0.4
-1.251e+00,26,0.4
-1.248e+00,26,0.8
-1.245e+00,26,0.8
-1.242e+00,26.4,0.8
-1.238e+00,26,0.4
-1.235e+00,26.4,0.4
-1.232e+00,26.4,0.4
-1.229e+00,26.4,0.4
-1.226e+00,26.4,0.4
-1.222e+00,26.8,0.4
-1.219e+00,26.8,0.8
-1.216e+00,26.8,0.4
-1.213e+00,27.2,0.8
-1.210e+00,26.8,0.4
-1.206e+00,26.8,0.4
-1.203e+00,26.8,0.4
-1.200e+00,26.8,0.8
-1.197e+00,27.2,0.4
-1.194e+00,27.2,0.4
-1.190e+00,27.2,0.4
-1.187e+00,26.8,0.4
-1.184e+00,27.2,0.8
-1.181e+00,27.2,0.8
-1.178e+00,27.2,0.4
-1.174e+00,27.2,0.4
-1.171e+00,27.6,0.8
-1.168e+00,27.6,0.4
-1.165e+00,27.6,0.4
-1.162e+00,28,0.8
-1.158e+00,28,0.8
-1.155e+00,27.6,0.8
-1.152e+00,28,0.4
-1.149e+00,27.6,0.8
-1.146e+00,28,0.4
