Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,5
Label,,
TIME,CH1,CH2
-2.595e+00,7.2,-0.6
-2.592e+00,6.8,-0.6
-2.589e+00,6.8,-0.6
-2.586e+00,7.2,-0.6
-2.582e+00,7.6,-0.8
-2.579e+00,7.6,-1
-2.576e+00,8.4,-1
-2.573e+00,7.2,-1.2
-2.570e+00,7.6,-1.2
-2.566e+00,7.2,-1.4
-2.563e+00,7.6,-1.4
-2.560e+00,7.6,-1.6
-2.557e+00,8,-1.6
-2.554e+00,8,-1.6
-2.550e+00,8,-1.4
-2.547e+00,8.4,-1.6
-2.544e+00,7.6,-1.6
-2.541e+00,8.4,-1.6
-2.538e+00,8.4,-1.6
-2.534e+00,8.8,-1.6
-2.531e+00,8.4,-1.6
-2.528e+00,9.2,-1.6
-2.525e+00,8.8,-1.6
-2.522e+00,8.4,-1.4
-2.518e+00,8,-1.2
-2.515e+00,8.8,-1.2
-2.512e+00,10,-1.2
-2.509e+00,8.8,-1.2
-2.506e+00,8.8,-1.2
-2.502e+00,8.8,-1.2
-2.499e+00,9.2,-1
-2.496e+00,8.8,-1.2
-2.493e+00,9.2,-0.8
-2.490e+00,9.2,-0.8
-2.486e+00,9.2,-0.8
-2.483e+00,9.2,-0.6
-2.480e+00,9.6,-0.6
-2.477e+00,9.6,-0.6
-2.474e+00,9.2,-0.8
-2.470e+00,9.6,-0.6
-2.467e+00,9.6,-0.8
-2.464e+00,9.2,-0.8
-2.461e+00,9.2,-0.8
-2.458e+00,10,-0.8
-2.454e+00,10,-0.6
-2.451e+00,10,-0.6
-2.448e+00,10,-0.6
-2.445e+00,11.6,-0.4
-2.442e+00,10,-0.6
-2.438e+00,10.4,-0.4
-2.435e+00,10.4,-0.4
-2.432e+00,11.6,-0.6
-2.429e+00,10,-0.6
-2.426e+00,10.4,-0.4
-2.422e+00,10.4,-0.4
-2.419e+00,10.8,-0.2
-2.416e+00,10.4,0
-2.413e+00,11.2,0
-2.410e+00,10.4,-0.2
-2.406e+00,10.8,0
-2.403e+00,10.8,0.2
-2.400e+00,11.2,0
-2.397e+00,11.2,0.2
-2.394e+00,10.8,0.2
-2.390e+00,10.8,0.4
-2.387e+00,11.2,0.4
-2.384e+00,10,0.6
-2.381e+00,10.8,0.8
-2.378e+00,11.6,0.8
-2.374e+00,11.6,0.8
-2.371e+00,11.6,0.8
-2.368e+00,12.8,0.8
-2.365e+00,11.6,1
-2.362e+00,11.6,1
-2.358e+00,11.2,0.8
-2.355e+00,12,1
-2.352e+00,13.2,1.2
-2.349e+00,11.2,1.2
-2.346e+00,12,1
-2.342e+00,11.6,1.2
