# ADC counts, event no., timestamp, absolute time
2.100000000000000000e+01, 0.000000000000000000e+00, 2.808000000000000000e+03, 4.011466400000000000e+07
5.206000000000000000e+03, 1.000000000000000000e+00, 1.416000000000000000e+03, 9.299020000000000000e+07
7.571000000000000000e+03, 2.000000000000000000e+00, 1.448000000000000000e+03, 1.376057680000000000e+08
2.300000000000000000e+01, 3.000000000000000000e+00, 2.648000000000000000e+03, 8.564116400000000000e+08
2.700000000000000000e+01, 4.000000000000000000e+00, 5.264000000000000000e+03, 8.903416400000000000e+08
2.800000000000000000e+01, 5.000000000000000000e+00, 1.000000000000000000e+03, 1.099560680000000000e+09
1.900000000000000000e+01, 6.000000000000000000e+00, 5.872000000000000000e+03, 1.264517752000000000e+09
1.800000000000000000e+01, 7.000000000000000000e+00, 6.576000000000000000e+03, 1.319087656000000000e+09
2.040900000000000000e+04, 8.000000000000000000e+00, 1.408000000000000000e+03, 1.357775560000000000e+09
2.750000000000000000e+03, 9.000000000000000000e+00, 1.392000000000000000e+03, 1.866815720000000000e+09
2.000000000000000000e+01, 1.000000000000000000e+01, 6.328000000000000000e+03, 2.333133512000000000e+09
1.303400000000000000e+04, 1.100000000000000000e+01, 1.448000000000000000e+03, 2.451669560000000000e+09
6.133000000000000000e+03, 1.200000000000000000e+01, 1.408000000000000000e+03, 2.810304680000000000e+09
5.380000000000000000e+03, 1.300000000000000000e+01, 1.432000000000000000e+03, 2.839903448000000000e+09
1.700000000000000000e+01, 1.400000000000000000e+01, 6.224000000000000000e+03, 3.209425528000000000e+09
3.100000000000000000e+01, 1.500000000000000000e+01, 2.128000000000000000e+03, 3.237120200000000000e+09
8.511000000000000000e+03, 1.600000000000000000e+01, 1.416000000000000000e+03, 3.592992408000000000e+09
4.600000000000000000e+01, 1.700000000000000000e+01, 6.512000000000000000e+03, 3.882640984000000000e+09
7.412000000000000000e+03, 1.800000000000000000e+01, 1.432000000000000000e+03, 4.199262728000000000e+09
5.102000000000000000e+03, 1.900000000000000000e+01, 1.392000000000000000e+03, 4.253565544000000000e+09
1.400000000000000000e+01, 2.000000000000000000e+01, 3.592000000000000000e+03, 4.286059064000000000e+09
3.500000000000000000e+01, 2.100000000000000000e+01, 7.032000000000000000e+03, 4.323746200000000000e+09
4.000000000000000000e+00, 2.200000000000000000e+01, 7.568000000000000000e+03, 4.397260648000000000e+09
3.100000000000000000e+01, 2.300000000000000000e+01, 6.000000000000000000e+03, 4.503561640000000000e+09
3.731000000000000000e+03, 2.400000000000000000e+01, 1.408000000000000000e+03, 4.696222744000000000e+09
2.570000000000000000e+03, 2.500000000000000000e+01, 1.320000000000000000e+03, 5.014185400000000000e+09
