# ADC counts, event no., timestamp, absolute time
5.064000000000000000e+04, 0.000000000000000000e+00, 1.400000000000000000e+03, 1.036292720000000000e+08
8.931000000000000000e+03, 1.000000000000000000e+00, 1.408000000000000000e+03, 1.062901520000000000e+08
2.900000000000000000e+01, 2.000000000000000000e+00, 7.920000000000000000e+03, 1.831536880000000000e+08
6.839000000000000000e+03, 3.000000000000000000e+00, 1.440000000000000000e+03, 2.253670960000000000e+08
3.882000000000000000e+03, 4.000000000000000000e+00, 1.408000000000000000e+03, 2.515495280000000000e+08
3.908000000000000000e+03, 5.000000000000000000e+00, 1.384000000000000000e+03, 2.601637040000000000e+08
1.700000000000000000e+01, 6.000000000000000000e+00, 2.544000000000000000e+03, 3.648070480000000000e+08
7.861000000000000000e+03, 7.000000000000000000e+00, 1.400000000000000000e+03, 3.659426320000000000e+08
1.800000000000000000e+01, 8.000000000000000000e+00, 7.048000000000000000e+03, 3.773112720000000000e+08
4.367000000000000000e+03, 9.000000000000000000e+00, 1.408000000000000000e+03, 4.627240240000000000e+08
1.600000000000000000e+01, 1.000000000000000000e+01, 1.064000000000000000e+03, 5.467582480000000000e+08
3.400000000000000000e+01, 1.100000000000000000e+01, 5.168000000000000000e+03, 6.910781680000000000e+08
1.800000000000000000e+01, 1.200000000000000000e+01, 8.016000000000000000e+03, 7.869201520000000000e+08
2.100000000000000000e+01, 1.300000000000000000e+01, 4.848000000000000000e+03, 1.004324008000000000e+09
3.300000000000000000e+01, 1.400000000000000000e+01, 4.912000000000000000e+03, 1.150662552000000000e+09
2.200000000000000000e+01, 1.500000000000000000e+01, 7.056000000000000000e+03, 1.240539976000000000e+09
4.600000000000000000e+01, 1.600000000000000000e+01, 2.344000000000000000e+03, 1.331273672000000000e+09
4.807000000000000000e+03, 1.700000000000000000e+01, 1.392000000000000000e+03, 1.837517976000000000e+09
6.562000000000000000e+03, 1.800000000000000000e+01, 1.408000000000000000e+03, 1.894830712000000000e+09
3.562000000000000000e+03, 1.900000000000000000e+01, 1.392000000000000000e+03, 1.956928328000000000e+09
3.094000000000000000e+03, 2.000000000000000000e+01, 1.328000000000000000e+03, 2.201958536000000000e+09
3.949000000000000000e+03, 2.100000000000000000e+01, 1.408000000000000000e+03, 2.250060760000000000e+09
3.000000000000000000e+01, 2.200000000000000000e+01, 7.240000000000000000e+03, 2.328609224000000000e+09
5.563000000000000000e+03, 2.300000000000000000e+01, 1.408000000000000000e+03, 2.331004376000000000e+09
